I(in mA),V-r,R,Power (in mW)
0.57,0,0,0
0.57,0.004,7.01754386,0.00228
0.54,0.065,120.3703704,0.0351
0.52,0.091,175,0.04732
0.5,0.106,212,0.053
0.47,0.127,270.212766,0.05969
0.45,0.132,293.3333333,0.0594
0.43,0.153,355.8139535,0.06579
0.42,0.155,369.047619,0.0651
0.4,0.165,412.5,0.066
0.38,0.173,455.2631579,0.06574
0.34,0.186,547.0588235,0.06324
0.32,0.194,606.25,0.06208
0.3,0.196,653.3333333,0.0588
0.27,0.203,751.8518519,0.05481
0.24,0.209,870.8333333,0.05016
0.21,0.216,1028.571429,0.04536
0.18,0.222,1233.333333,0.03996
0.15,0.226,1506.666667,0.0339
0.12,0.23,1916.666667,0.0276
0.1,0.233,2330,0.0233
0.08,0.238,2975,0.01904
0.06,0.241,4016.666667,0.01446
0.05,0.241,4820,0.01205
0.04,0.242,6050,0.00968
0.03,0.237,7900,0.00711
0.02,0.239,11950,0.00478
